2020-01-07 00:24:07 INFO  Logger:80 - Found Element By : By.xpath: //input[@name='first_name']
2020-01-07 00:24:07 INFO  Logger:74 - Trying to find Element By : By.xpath: //input[@name='last_name']
2020-01-07 00:24:07 INFO  Logger:80 - Found Element By : By.xpath: //input[@name='last_name']
2020-01-07 00:24:08 INFO  Logger:74 - Trying to find Element By : By.xpath: //button[contains(text(),'Save')]
2020-01-07 00:24:08 INFO  Logger:80 - Found Element By : By.xpath: //button[contains(text(),'Save')]
2020-01-07 00:24:08 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (d4923e0b738099333d39e87ba571fdaa)] -> xpath: //button[contains(text(),'Save')]]
2020-01-07 00:24:08 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (d4923e0b738099333d39e87ba571fdaa)] -> xpath: //button[contains(text(),'Save')]]
2020-01-07 00:24:12 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:24:14 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:24:14 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:24:14 INFO  Logger:80 - Found Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:24:14 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (cd563b680cf2abdab13e6a9b6994d57e)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:24:16 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (cd563b680cf2abdab13e6a9b6994d57e)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:24:16 INFO  Logger:74 - Trying to find Element By : By.name: email
2020-01-07 00:24:16 INFO  Logger:80 - Found Element By : By.name: email
2020-01-07 00:24:17 INFO  Logger:74 - Trying to find Element By : By.name: password
2020-01-07 00:24:17 INFO  Logger:80 - Found Element By : By.name: password
2020-01-07 00:24:17 INFO  Logger:74 - Trying to find Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:24:17 INFO  Logger:80 - Found Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:24:17 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (cd563b680cf2abdab13e6a9b6994d57e)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:24:17 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (cd563b680cf2abdab13e6a9b6994d57e)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:24:17 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/a[attribute::href='/contacts']
2020-01-07 00:24:17 INFO  Logger:80 - Found Element By : By.xpath: //div/a[attribute::href='/contacts']
2020-01-07 00:24:17 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (cd563b680cf2abdab13e6a9b6994d57e)] -> xpath: //div/a[attribute::href='/contacts']]
2020-01-07 00:24:18 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (cd563b680cf2abdab13e6a9b6994d57e)] -> xpath: //div/a[attribute::href='/contacts']]
2020-01-07 00:24:18 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[@href='/contacts/new']
2020-01-07 00:24:18 INFO  Logger:80 - Found Element By : By.xpath: //a[@href='/contacts/new']
2020-01-07 00:24:18 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (cd563b680cf2abdab13e6a9b6994d57e)] -> xpath: //a[@href='/contacts/new']]
2020-01-07 00:24:18 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (cd563b680cf2abdab13e6a9b6994d57e)] -> xpath: //a[@href='/contacts/new']]
2020-01-07 00:24:18 INFO  Logger:74 - Trying to find Element By : By.xpath: //input[@name='first_name']
2020-01-07 00:24:18 INFO  Logger:80 - Found Element By : By.xpath: //input[@name='first_name']
2020-01-07 00:24:19 INFO  Logger:74 - Trying to find Element By : By.xpath: //input[@name='last_name']
2020-01-07 00:24:19 INFO  Logger:80 - Found Element By : By.xpath: //input[@name='last_name']
2020-01-07 00:24:20 INFO  Logger:74 - Trying to find Element By : By.xpath: //button[contains(text(),'Save')]
2020-01-07 00:24:20 INFO  Logger:80 - Found Element By : By.xpath: //button[contains(text(),'Save')]
2020-01-07 00:24:20 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (cd563b680cf2abdab13e6a9b6994d57e)] -> xpath: //button[contains(text(),'Save')]]
2020-01-07 00:24:20 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (cd563b680cf2abdab13e6a9b6994d57e)] -> xpath: //button[contains(text(),'Save')]]
2020-01-07 00:24:24 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:24:26 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:24:26 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:24:26 INFO  Logger:80 - Found Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:24:26 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (7aa095a79c00be5f0016eed3b659a6c1)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
